epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7104,0.97822,1.90443,1.15934,0.84953,0.76252,0.81655,0.66191,0.70464,1.20029,0.86896,0.000549205,0.000549205,0.000549205
2,20.2375,0.84762,1.16013,1.03354,0.83285,0.81804,0.86961,0.70964,0.7303,1.06273,0.90653,0.00109393,0.00109393,0.00109393
3,29.2281,0.86135,1.01988,1.03436,0.72674,0.75102,0.7729,0.63321,0.7786,1.11262,0.92116,0.00162766,0.00162766,0.00162766
4,38.1928,0.82529,0.90983,1.01906,0.72311,0.69928,0.66432,0.48856,0.97996,1.40624,1.11843,0.00161749,0.00161749,0.00161749
5,47.1642,0.79854,0.80097,1.0044,0.89213,0.86095,0.91699,0.78361,0.67784,0.66908,0.86622,0.00160099,0.00160099,0.00160099
6,56.3105,0.78419,0.74928,1.00097,0.89821,0.87582,0.92311,0.77719,0.67596,0.65926,0.84977,0.00158448,0.00158448,0.00158448
7,65.1036,0.74713,0.70035,0.98898,0.93836,0.87836,0.93818,0.80651,0.59169,0.59021,0.80756,0.00156798,0.00156798,0.00156798
8,74.1459,0.75235,0.69713,0.99397,0.87022,0.80927,0.89153,0.74518,0.70037,0.86872,0.87391,0.00155148,0.00155148,0.00155148
9,82.9459,0.72655,0.66487,0.97891,0.93144,0.90467,0.94418,0.81594,0.60324,0.55894,0.83239,0.00153497,0.00153497,0.00153497
10,92.2286,0.71128,0.63107,0.97148,0.89618,0.85143,0.89967,0.77503,0.65039,0.70813,0.89303,0.00151847,0.00151847,0.00151847
11,101.031,0.70825,0.6133,0.9714,0.91399,0.89641,0.93846,0.7952,0.63382,0.53683,0.85355,0.00150197,0.00150197,0.00150197
12,110.097,0.71108,0.60927,0.97707,0.93552,0.90952,0.93676,0.80907,0.62582,0.56059,0.83466,0.00148546,0.00148546,0.00148546
